tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	tags	fen	tag	cluster	bpr_cluster	newcluster
32065	836.0	44.41	57524.0	60.0	2.0	Fork / Double Attack	https://lichess.org/analysis/1rbr3k/pp2q1pp/1n6/2b5/Q3B3/P4P2/1PPB2PP/R2N1K1R_w_-_-	Fork / Double Attack	14	6	7
154496	400.0	40.0	4087.0	19.0	1.0	Mate in 1	https://lichess.org/analysis/r3rk2/1pp1bpp1/p1b1p2p/3q4/3P4/2PBP1B1/P1Q2PPP/1R3RK1_w_-_-	Mate in 1	9	4	2
81680	400.0	40.0	5509.0	27.0	1.0	Mate in 1	https://lichess.org/analysis/2r2rk1/ppp2ppp/8/4p1P1/2P5/3Q1qP1/PP3P2/2KR3R_b_-_-	Mate in 1	8	5	2
42070	2946.0	42.66	2263.0	128.0	5.0	Endgame Tactics	https://lichess.org/analysis/q3N1R1/p7/8/7k/4P2R/8/4K2P/8_b_-_-	Endgame Tactics	4	4	18
86306	746.0	42.71	35401.0	25.0	1.0	Discovered Attack,Hanging Piece	https://lichess.org/analysis/2k1r3/1p3p2/p4q2/2bnr2p/2P3p1/2B3P1/P1P2P1P/1R1Q1RK1_b_-_-	Discovered Attack	15	19	1
36132	1987.0	44.84	25084.0	41.0	1.0	Fork / Double Attack,Hanging Piece,Zwischenzug	https://lichess.org/analysis/r3k2r/pppbqppp/3P2n1/1B1Q4/5B2/2P1P3/P4PPP/R3K2R_b_KQkq_-	Zwischenzug	4	1	20
38937	419.0	40.98	25028.0	29.0	3.0	Back Rank,Mate in 3+,Vulnerable King	https://lichess.org/analysis/r5k1/ppqnRQpr/2p4B/5p1n/3P4/8/PPP2PP1/R5K1_b_-_-	Back Rank	20	20	2
43189	413.0	40.76	26702.0	33.0	2.0	Discovered Attack	https://lichess.org/analysis/r6k/5Bpp/1qbp4/8/p3Q3/P1B2nP1/1P3P1P/R4R1K_w_-_-	Discovered Attack	8	12	2
121531	667.0	42.93	34759.0	69.0	2.0	Fork / Double Attack	https://lichess.org/analysis/rnbqk1nr/4b1pp/p3p3/1p1pPpN1/2pP1P2/1PN5/P1P1B1PP/R1BQ1RK1_b_kq_-	Fork / Double Attack	16	12	3
31553	411.0	40.37	18129.0	17.0	1.0	Mate in 1,Smothered Mate	https://lichess.org/analysis/3r2r1/1kpp3p/p6Q/1pb2pB1/4n3/2P5/PP4PP/R3R1qK_w_-_-	Smothered Mate	15	12	2
784	707.0	42.87	46213.0	34.0	1.0	Mate in 1	https://lichess.org/analysis/rnbq1r2/pp2kQp1/4pb1p/1B2N3/3pN3/8/PPP3PP/R4RK1_b_-_-_1_1	Mate in 1	15	19	3
28263	400.0	40.54	5359.0	27.0	2.0	Mate in 2	https://lichess.org/analysis/6r1/3k1p2/p1pp1n2/8/4p3/1PP2p1P/P2R1Pr1/3BR2K_w_-_-	Mate in 2	9	10	2
106365	400.0	40.0	4248.0	13.0	1.0	Mate in 1	https://lichess.org/analysis/8/p5pk/1r5r/5p2/1P1P1P2/P2pP1p1/6N1/2R2K2_w_-_-	Mate in 1	9	4	2
29842	1045.0	45.32	58747.0	122.0	4.0	Mating Net,Vulnerable King	https://lichess.org/analysis/8/p4pk1/2p1r1np/3p4/3P2P1/1PP2QpP/5B1q/R4K2_w_-_-	Vulnerable King	15	17	6
117392	1010.0	44.89	59552.0	56.0	4.0	Attacking Castled King,Mate in 3+,Mating Net	https://lichess.org/analysis/r6r/p1p2kpp/2p1bp2/4p3/1QP5/1P1q2P1/P2N1P1P/2KR2NR_w_-_-	Attacking Castled King	14	6	9
107393	636.0	69.42	35278.0	44.0	2.0	Skewer	https://lichess.org/analysis/rnb1k1nr/1pb2ppp/2p1p3/pPq5/P3P3/2N2N2/3B1PPP/2RQKB1R_b_Kkq_-	Skewer	18	19	1
41539	793.0	50.79	46097.0	39.0	1.0	Defense	https://lichess.org/analysis/5r1k/2r3p1/5n1p/2q5/P7/1Q1N1PPB/P3P2P/4RK2_b_-_-	Defense	15	19	5
113225	400.0	40.0	4158.0	23.0	1.0	Mate in 1	https://lichess.org/analysis/1r3knr/p3bppp/p2p1q2/2p5/4P3/2N1BP2/PPPQ2PP/2KR3R_w_-_-	Mate in 1	9	4	2
