tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	tags	fen	tag	cluster	full
45484	1791	45.02	39037	46	2	Hanging Piece,Pin	https://lichess.org/analysis/r2q2k1/p1pnp1bp/1p4p1/1P1R2p1/5r2/QB3N2/PP3PPP/2K4R_b_-_-	Pin	4	17. ... Kh8 18. Rhd1 Qf8 19. Rxd7
87124	1319	45.55	64604	39	3	Basic Checkmates,Mate in 3+,Vulnerable King	https://lichess.org/analysis/rnbq1rk1/ppp3pQ/3bp2p/3np3/3P4/2PB2B1/PP1N1PPP/R4RK1_b_-_-	Basic Checkmates	5	14. ... Kf7 15. Bg6+ Ke7 16. Qxg7+ Rf7 17. Qxf7#
37284	1422	45.51	64820	24	1	Endgame Tactics,Pawn Promotion,Stalemate,Underpromotion	https://lichess.org/analysis/8/RkP5/8/K7/8/8/8/8_b_-_-	Underpromotion	2	1. ... Kxa7 2. c8=R
56449	758	42.16	44461	25	1	Pin	https://lichess.org/analysis/2kr1bBr/nppq4/p2p1p2/6pp/PP1PPpb1/1QP2N1P/3N2P1/R4RK1_b_-_-	Pin	15	14. ... Bxf3 15. Be6
51686	400	40.59	18516	36	1	Mate in 1	https://lichess.org/analysis/r2qkb1r/p7/n1pp4/4p2p/6b1/P2P2P1/1PP1BQ1P/R1B2RK1_b_-_-	Mate in 1	9	16. ... d5 17. Qf7#
29490	2578	44.16	6176	130	5	Mating Net,Vulnerable King	https://lichess.org/analysis/3q2k1/5pp1/p3p1p1/2N2n2/1P1r4/PQ2PBbP/4K1P1/R4R2_w_-_-	Vulnerable King	4	34. Rfc1 Rd2+ 35. Kf1 Bf2 36. Ne4 Nxe3+ 37. Qxe3 Bxe3 38. Nxd2 Qxd2
84288	410	40.0	5401	33	1	Mate in 1	https://lichess.org/analysis/r1b3q1/pp1p1p2/n1k2p2/P1pR4/1PQ3P1/2b1P3/5P1P/2K4R_b_-_-	Mate in 1	8	30. ... Nxb4 31. Qxc5#
47701	735	43.6	54982	38	2	Mate in 2,Pawn Promotion,Queen Sacrifice	https://lichess.org/analysis/r5k1/2p1b1pp/b1p1p3/1q2Pr2/3P4/1NP1R2R/P1QB1PpP/6K1_w_-_-	Queen Sacrifice	15	24. Re1 Qf1+ 25. Rxf1 gxf1=Q#
184756	668	42.8	39974	48	2	Discovered Attack,Hanging Piece	https://lichess.org/analysis/r1bqk2r/pp2bppp/2p2n2/3n4/8/3B1N2/PP1P1PPP/RNB1QRK1_w_kq_-	Discovered Attack	16	11. Nc3 Nxc3 12. bxc3 Qxd3
31539	1059	44.76	65460	28	2	Discovered Attack,Sacrifice,Zwischenzug	https://lichess.org/analysis/1rbb1nk1/5pp1/3p1n1p/3Pp3/2P2P2/1P2B1PP/q1B3QN/1N3RK1_b_-_f3	Zwischenzug	2	29. ... Bxh3 30. Bh7+ Kxh7 31. Qxa2
101834	726	40.63	32827	30	2	Pawn Promotion	https://lichess.org/analysis/8/1P1k4/2n3p1/P1Rp1p1p/2b5/K6P/8/8_b_-_-	Pawn Promotion	16	49. ... f4 50. Rxc6 Kxc6 51. b8=Q
375359	974	45.21	51475	57	2	Mate in 2	https://lichess.org/analysis/r1bq1bnr/1ppk1B2/p1np3p/6N1/3PP3/2N3p1/PPP4P/R1BQ1RK1_b_-_-	Mate in 2	15	10. ... hxg5 11. Qg4+ Ke7 12. Nd5#
101240	901	44.86	48958	59	1	Pawn Promotion,Remove the Defender	https://lichess.org/analysis/8/3r1P2/8/p2Bk1p1/Pp2n2p/7P/2R3P1/7K_b_-_-	Pawn Promotion	14	43. ... Rd8 44. Bxe4
34629	2499	44.14	7705	79	2	Defense,Fork / Double Attack	https://lichess.org/analysis/4rr2/7k/pp1QBqp1/3P4/P3R3/2p5/3b2PP/6RK_b_-_-	Defense	4	35. ... c2 36. Qc7+ Kh8 37. Qxc2
34485	2140	44.51	17332	80	4	Back Rank,Decoy / Deflection,Fork / Double Attack,Mate in 3+,Mating Net,Queen Sacrifice	https://lichess.org/analysis/3q1rk1/6b1/3P2p1/1p1N3p/1B1np3/R7/1P1Q2PP/6K1_w_-_-	Queen Sacrifice	4	30. Bc5 Qg5 31. Qxg5 Ne2+ 32. Kh1 Rf1+ 33. Bg1 Rxg1#
175932	410	40.0	4318	10	1	Mate in 1	https://lichess.org/analysis/r1k5/p5pp/2p5/2N5/PQ2pBb1/8/2P3PP/3q3K_w_-_-	Mate in 1	9	26. Qe1 Qxe1#
127095	410	40.0	4296	18	2	Mate in 2	https://lichess.org/analysis/6k1/p1p5/2R2p2/8/P1P5/1P2P2P/3r2r1/5RK1_w_-_-	Mate in 2	9	26. Kh1 Rh2+ 27. Kg1 Rdg2#
113891	412	40.16	5628	51	1	Mate in 1	https://lichess.org/analysis/rq3nk1/p5np/1p4pN/2pQ2P1/8/1P1BP3/P1PP4/R5K1_b_-_-	Mate in 1	8	24. ... Kh8 25. Qg8#
149329	1102	44.99	63278	29	1	Mate in 1,Pin	https://lichess.org/analysis/r4rk1/5ppp/p1b5/8/1nB5/1P2q2P/4N1P1/R2Q2RK_w_-_-	Pin	14	25. Qc1 Qxh3#
60418	1201	46.38	63815	42	2	Hanging Piece,Overloading,Remove the Defender	https://lichess.org/analysis/r1bq1rk1/pp1nbppp/2p2n2/6B1/3PN3/3Q1N2/PP3PPP/R3KB1R_w_KQ_-	Overloading	2	10. Be2 Nxe4 11. Qxe4 Bxg5
96723	400	40.0	6657	29	2	Mate in 2	https://lichess.org/analysis/2kr3r/pppq2pp/3p1p2/4p3/1nB1Pn2/2NPQ2P/P1P2P1K/R4R2_w_-_-	Mate in 2	8	16. Qxa7 Qxh3+ 17. Kg1 Qg2#
124773	408	83.2	23062	19	1	Mate in 1	https://lichess.org/analysis/2Q5/p4p2/5N2/1K2p3/4P2k/8/1q6/8_w_-_-	Mate in 1	17	44. Ka6 Qb6#
52638	942	44.49	58421	54	2	Skewer	https://lichess.org/analysis/1k1rn2r/1bp1q1b1/pp2p3/3p1pPp/3P4/P1NQPPB1/1PPN2P1/2KR3R_b_-_-	Skewer	1	19. ... Qxg5 20. Bh4 Qg6 21. Bxd8
108168	755	42.54	42389	24	1	Mate in 1	https://lichess.org/analysis/r1b2rk1/pp1p3p/3b1q1p/2p1p3/2PnP3/3P1NNP/PP4P1/R2QKB1R_w_KQ_-	Mate in 1	16	12. Nxd4 Qf2#
47312	400	40.92	16140	24	1	Mate in 1	https://lichess.org/analysis/r1bq2rk/pp1n3p/4p1pQ/3p2N1/8/3B4/PP3PPP/2R1R1K1_b_-_-	Mate in 1	9	21. ... Qf8 22. Qxh7#
121536	400	100.647	4360	16	1	Mate in 1	https://lichess.org/analysis/3r1rk1/ppp3p1/2n3p1/4p3/PP6/2P1pb1P/3B1R2/RN2K1N1_w_-_-	Mate in 1	9	20. Bxe3 Rd1#
106373	1509	45.04	54343	67	3	Defense,Hanging Piece,Overloading	https://lichess.org/analysis/5rk1/1r3pb1/6p1/p2Qp1P1/4BP1R/4B3/PPPK4/5q2_b_-_-	Overloading	5	27. ... Qb5 28. Qxb7 Rd8+ 29. Ke1 Qxb7 30. Bxb7
74328	812	44.49	48350	45	1	Mate in 1,Mate in 2	https://lichess.org/analysis/8/3k1p2/2q2b1p/1Qp5/K5r1/P3R3/5P1P/1R6_w_-_-	Mate in 2	15	37. Ka5 Bd8+
83260	410	40.0	4822	20	1	Mate in 1	https://lichess.org/analysis/rn1qk1nr/ppp1b2p/4p3/4N1pQ/3PPp2/8/PPP3PP/RNB1K2R_b_KQkq_-	Mate in 1	8	9. ... Kf8 10. Qf7#
95362	662	41.6	36945	57	2	Remove the Defender	https://lichess.org/analysis/r3r1k1/pp1n1pp1/3p1b1p/q1pP4/4P1b1/2NB4/PPQN1PPP/R3K2R_w_KQ_-	Remove the Defender	17	14. Bb5 Bxc3 15. Qxc3 Qxb5
352325	400	40.71	26233	59	3	Back Rank,Mate in 3+	https://lichess.org/analysis/r1bq2k1/1pp3pp/1b2p2r/p7/P2PB3/2P1PQ2/1P4PP/R1B2RK1_b_-_-	Back Rank	18	15. ... c6 16. Qf7+ Kh8 17. Qf8+ Qxf8 18. Rxf8#
58392	590	42.84	24013	41	1	Hanging Piece	https://lichess.org/analysis/r4rk1/1ppn2pp/p1q1ppb1/3N4/1b1Q2P1/1P1P1P2/PBP1N2P/2KR1B1R_b_-_-	Hanging Piece	9	15. ... exd5 16. Qxb4
154844	700	41.69	33220	40	2	Mate in 2	https://lichess.org/analysis/r3k2r/ppp2pp1/3p3p/4p2n/2BnP2q/P1NP1P1P/1PP2P2/R2QRK2_w_kq_-	Mate in 2	17	14. Ne2 Qxh3+ 15. Kg1 Nxf3#
74423	1094	45.76	58491	69	3	Fork / Double Attack	https://lichess.org/analysis/r1b1kr2/p1pp2pp/1pnq1n2/4p3/2B1P3/2NP4/PPP2PPP/R1BQ1RK1_b_q_-	Fork / Double Attack	14	9. ... Bb7 10. Nb5 Qe7 11. Nxc7+ Kd8 12. Nxa8
42410	701	43.17	52030	41	2	Fork / Double Attack,Mating Net	https://lichess.org/analysis/4r1k1/6bp/1Q4p1/1P6/P3p3/8/3q1PPP/2R1N1K1_w_-_-	Mating Net	15	27. Rb1 Bd4 28. Qc6 Qxf2+
41470	1110	45.18	64585	87	5	Pawn Promotion,Queen Sacrifice	https://lichess.org/analysis/3qr2k/6p1/1pBP3p/1r3p2/2pR1P2/4p1P1/4P2P/2Q3K1_b_-_-	Queen Sacrifice	14	36. ... Rc5 37. Bxe8 Qxe8 38. d7 Qd8 39. Qxe3 c3 40. Qe8+ Qxe8 41. dxe8=Q+
150506	413	40.0	6845	17	1	Mate in 1	https://lichess.org/analysis/r1b2rk1/pp3ppp/4p1q1/2p3B1/1bPn3P/2N3Q1/PPP2PP1/2KR2NR_w_-_-	Mate in 1	8	15. h5 Qxc2#
181996	1497	44.99	51556	32	2	Endgame Tactics,Mate in 2,Mating Net,Vulnerable King	https://lichess.org/analysis/8/6kp/6p1/1ppBP1K1/6PP/1P2nP2/8/8_w_-_-	Endgame Tactics	5	37. Be6 Ng2 38. h5 h6#
85973	716	43.19	31423	25	1	Hanging Piece	https://lichess.org/analysis/rn2kbnr/p2bpppp/1p6/1Bpq4/2PP4/5N2/PP3PPP/RNBQK2R_b_KQkq_c3	Hanging Piece	17	6. ... a6 7. cxd5
134322	998	44.96	60694	61	4	Decoy / Deflection,Mate in 3+	https://lichess.org/analysis/6k1/pp3p1p/4bbpB/5P2/7P/4R3/n1r3P1/3R3K_b_-_-	Decoy / Deflection	14	22. ... gxf5 23. Rg3+ Kh8 24. Bg7+ Bxg7 25. Rd8+ Bf8 26. Rxf8#
184996	793	43.3	51120	29	2	Discovered Attack	https://lichess.org/analysis/rnb1kb1r/ppp1q1pp/5p2/3pN3/3Pn3/1B6/PPP2PPP/RNBQK2R_w_KQkq_-	Discovered Attack	14	7. Nf3 Nc3+ 8. Kd2 Nxd1
28552	2277	44.5	11973	46	2	Back Rank,Decoy / Deflection,Fork / Double Attack,Remove the Defender,Sacrifice	https://lichess.org/analysis/r3r1k1/p1pbq1pp/1bp5/2NpP3/8/2Q1B3/PPP3PP/R4RK1_b_-_-	Sacrifice	4	17. ... Qxe5 18. Rf8+ Rxf8 19. Qxe5
74927	400	40.5	5420	10	1	Mate in 1	https://lichess.org/analysis/1r4k1/1bNQ2bp/p5p1/1p2P1q1/8/8/PPP2P1P/R4RK1_w_-_-	Mate in 1	9	20. Qg4 Qxg4#
61498	1003	44.55	61170	39	2	Hanging Piece,Remove the Defender	https://lichess.org/analysis/r1b2bkr/2p1p1pp/pn2Nn2/1p1P4/1q3B2/2N5/PPP2PPP/R2Q1RK1_w_-_-	Remove the Defender	14	14. Re1 Bxe6 15. dxe6 Qxf4
131693	400	40.59	4750	19	1	Mate in 1	https://lichess.org/analysis/r3r1k1/2pQ2p1/p1p3q1/1pNbp3/3P4/7P/PPP2PP1/R4RK1_w_-_-	Mate in 1	9	21. Rae1 Qxg2#
41436	2875	41.58	3751	45	1	Mating Net,Vulnerable King	https://lichess.org/analysis/1R6/5n2/r6k/5p1p/5P2/2Q3PP/4q1NK/8_b_-_-	Vulnerable King	4	54. ... Qe4 55. Rg8
